workflow_id	workflow_name	read_layout	workflow_total_duration	download_duration	processing_duration	instance_type	status	run_id	cpu	mem	cache	blkio
01b20cb	hisat2-cufflinks	PAIRED	143.0	1.226512995	141.773487005	r5.4xlarge	success	SRR5168756	0	475160576	0	0
d4e591e	hisat2-cufflinks	PAIRED	354.0	2.253158966	351.746841034	r5.4xlarge	success	SRR5023408	1577.91293580585	5865033728	1051938816	0
c1973b8	hisat2-cufflinks	SINGLE	172.0	1.787274054	170.212725946	r5.4xlarge	success	SRR5168756	1140.66183619524	2033827840	84025344	0
5cb1e31	hisat2-cufflinks	SINGLE	913.0	9.5901179	903.4098821	r5.4xlarge	success	ERR204893	1599.48543929956	9870311424	5031571456	0
3d149e5	hisat2-cufflinks	SINGLE	405.0	6.271592398	398.728407602	r5.4xlarge	success	SRR4241930	778.213996037618	6140186624	1322987520	0
7d9e997	hisat2-cufflinks	SINGLE	364.0	2.445972173	361.554027827	r5.4xlarge	success	SRR5185518	788.574545037407	7075930112	2257539072	0
341c656	salmon	PAIRED	80.0	0	80.0	r5.4xlarge	success	SRR2932901	0	4825657344	0	0
40f4cff	salmon	PAIRED	20.0	0	20.0	r5.4xlarge	success	SRR4428678	0	0	0	0
3a438d1	kallisto	PAIRED	359.0	0	359.0	r5.4xlarge	success	SRR2567462	0	3815981056	1063202816	0
82163a2	kallisto	PAIRED	51.0	0	51.0	r5.4xlarge	success	SRR4250750	99.9463028607121	3891953664	0	0
65e8193	kallisto	PAIRED	65.0	0	65.0	r5.4xlarge	success	SRR4428678	100.066907817386	3809562624	0	0
2710eb4	salmon	SINGLE	61.0	0	61.0	r5.4xlarge	success	SRR4241930	0	1030176768	562331648	0
7e80d7a	kallisto	SINGLE	302.0	0	302.0	r5.4xlarge	success	SRR5023408	99.8699024219725	3811987456	95436800	0
2f5735b	kallisto	SINGLE	213.0	0	213.0	r5.4xlarge	success	SRR2932901	100.332483597751	3919716352	182083584	0
a490acc	kallisto	SINGLE	336.0	0	336.0	r5.4xlarge	success	ERR204893	99.9982401	3818741760	1327353856	0
5c6d12b	star-cufflinks	PAIRED	725.0	3.304470901	721.695529099	r5.4xlarge	success	SRR2932901	472.69136309613	38183952384	2728226816	770043904
3090f71	star-cufflinks	PAIRED	1040.0	10.614719189	1029.385280811	r5.4xlarge	success	ERR204893	446.3572674	38609096704	3288072192	0
6771b42	star-stringtie	PAIRED	234.0	1.623315688	232.376684312	r5.4xlarge	success	SRR5023408	1185.10797715711	36022620160	700923904	0
8431063	star-stringtie	PAIRED	230.0	7.80082446	222.19917554	r5.4xlarge	success	SRR4241930	204.852036514107	37040553984	1582161920	0
5882f25	hisat2-cufflinks	SINGLE	141.0	1.247472264	139.752527736	r5.4xlarge	success	SRR4250750	0	2207137792	213426176	0
ca28678	hisat2-stringtie	SINGLE	240.0	3.650752904	236.349247096	r5.4xlarge	success	SRR5023408	164.705192690864	8134959104	3328212992	0
5c0d67b	hisat2-stringtie	SINGLE	181.0	2.368248644	178.631751356	r5.4xlarge	success	SRR5185518	99.8748828963795	721797120	386928640	0
0364eb0	tophat2-cufflinks	PAIRED	4008.0	6.898543824	4001.101456176	r5.4xlarge	success	SRR2567462	1569.85925761994	17766457344	8769081344	50872320
dbaa658	tophat2-cufflinks	SINGLE	2813.0	2.666482475	2810.333517525	r5.4xlarge	success	SRR5185518	1598.3010702	12503912448	4762247168	83869696
9db591a	star-stringtie	SINGLE	172.0	1.330032807	170.669967193	r5.4xlarge	success	SRR5185518	282.696852259283	35708616704	884350976	4096
9fb8a2e	hisat2-stringtie	PAIRED	61.0	0.409369298	60.590630702	r5.4xlarge	success	SRR4250750	0	21921792	20701184	0
bbc5a83	tophat2-cufflinks	SINGLE	820.0	1.075876246	818.924123754	r5.4xlarge	success	SRR4250750	1089.22688598504	9712508928	5533765632	4834865152
92e8a7d	kallisto	PAIRED	52.0	0	52.0	r5.4xlarge	success	SRR4250750	0	0	0	0
e1867a5	kallisto	PAIRED	67.0	0	67.0	r5.4xlarge	success	SRR5168756	99.9998999	3810881536	0	0
7ade8b1	kallisto	PAIRED	66.0	0	66.0	r5.4xlarge	success	SRR4428678	0	3809705984	0	0
7e81b62	salmon	SINGLE	22.0	0	22.0	r5.4xlarge	success	SRR5168756	0	0	0	0
742f7a7	salmon	SINGLE	108.0	0	108.0	r5.4xlarge	success	ERR204893	1591.47403489732	1820192768	1266274304	0
dd7d320	kallisto	SINGLE	69.0	0	69.0	r5.4xlarge	success	SRR5168756	0	3811106816	0	0
ae3bdac	star-cufflinks	SINGLE	514.0	3.677882213	510.322117787	r5.4xlarge	success	SRR5185518	896.998291779293	35749785600	926461952	4096
886dccf	star-cufflinks	SINGLE	360.0	0.685302443	359.314697557	r5.4xlarge	success	SRR4428678	707.548723140187	33583341568	293163008	4096
6c25abf	hisat2-cufflinks	PAIRED	145.0	1.54688821	143.45311179	r5.4xlarge	success	SRR5168756	1294.18766549093	2592284672	137641984	0
ad1e3a0	hisat2-cufflinks	PAIRED	146.0	0.629570483	145.370429517	r5.4xlarge	success	SRR4428678	1027.39950983008	1155399680	87527424	0
1620ffa	hisat2-cufflinks	SINGLE	834.0	5.029591451	828.970408549	r5.4xlarge	success	SRR2567462	1588.40318211118	9655898112	4799787008	0
